towncode,Police.Zone,communityname,highcrime,treatment
1001,ZONE 1 ,POINT 4 COMMUNITY,1,1
1002,ZONE 1 ,BONG MINES BRIDGE,0,1
1004,ZONE 1 ,CONEL WEST,1,0
1005,ZONE 1 ,POPO BEACH,1,0
1007,ZONE 1 ,COAST GUARD BASE,0,1
1008,ZONE 1 ,LAGOON COMMUNITY,0,0
1011,ZONE 1 ,MIC COMMUNITY,0,0
1014,ZONE 1 ,GBALASWA COMMUNITY,0,0
1022,ZONE 1 ,CRAB HOLE COMMUNITY,0,1
2001,ZONE 2 ,ROCK TOWN / UN DRIVE,0,1
2004,ZONE 2 ,PHP COMMUNITY,0,0
2005,ZONE 2 ,MECHLIN STREET,0,0
2010,ZONE 2 ,CAREY STREET,0,0
2014,ZONE 2 ,ROCK HILL COMMUNITY,0,1
2016,ZONE 2 ,MARCOBENE,0,1
2023,ZONE 2 ,15TH STREET COMMUNITY,0,1
2025,ZONE 2 ,17TH STREET,0,1
2027,ZONE 2 ,"11TH STREET, SINKOR ",0,1
2028,ZONE 2 ,WORWEIN COMMUNITY,0,0
2032,ZONE 2 ,JARKPAH TOWN COMMUNITY,0,0
2037,ZONE 2 ,BASSA COMMUNITY,0,0
2040,ZONE 2 ,ROCK SPRING COMMUNITY,0,0
3000,ZONE 3 ,PEACE ISLAND COMMUNITY,1,0
3001,ZONE 3 ,CATHOLIC COMMUNITY,0,1
3002,ZONE 3 ,POLOTORIE COMMUNITY,1,1
3005,ZONE 3 ,TARR TOWN COMMUNITY,0,1
3009,ZONE 3 ,0902-CABRAL COMMUNITY,0,0
3010,ZONE 3 ,PAGO'S ISLAND COMMUNITY,0,1
3012,ZONE 3 ,GAYE TOWN COMMUNITY,1,0
3014,ZONE 3 ,SKD BOULEVARD,1,0
3016,ZONE 3 ,KAILANDO COMMUNITY,1,1
3019,ZONE 3 ,"KPELLEH TOWN, BACK ROAD",0,1
3021,ZONE 3 ,VIA TOWN,1,1
3022,ZONE 3 ,ROCK VALLEY COMMUNTY,1,0
3024,ZONE 3 ,KEY HOLE COMMUNITY,0,0
3027,ZONE 3 ,SMALL TOWN,0,1
3028,ZONE 3 ,TOKPA CAMP COMMUNITY,1,0
4002,ZONE 4 ,PLUMKER NEW GEORGIA,0,1
4003,ZONE 4 ,1407-B-BARDNERSVILLE,0,1
4005,ZONE 4 ,NYANFORD TOWN,0,1
4013,ZONE 4 ,L.P.R.C. COMMUNITY,0,0
4014,ZONE 4 ,CHICKEN SOUP FACTORY,0,0
4019,ZONE 4 ,SUPER MARKET SNOW HILL COMMUNITY,0,0
4020,ZONE 4 ,NEW GEORGIA,0,0
4024,ZONE 4 ,BATTERY FACTORY/PLANK FIELD,0,1
4026,ZONE 4 ,NEW GEORGIA JUNCTON,0,1
4027,ZONE 4 ,M.K.K. COMMUNITY,0,0
5000,ZONE 5 ,JOE BAR COMMUNITY,0,1
5002,ZONE 5 ,G.S.A ROAD COMMUNITY,1,1
5004,ZONE 5 ,"OUTLAND COMMUNITY, DU-PORT ROAD COMMUNITY",1,0
5005,ZONE 5 ,MID DU-PORT ROAD COMMUNITY,1,1
5008,ZONE 5 ,ZUBAH TOWN COMMUNITY,1,0
5010,ZONE 5 ,POLICE ACADEMY COMMUNITY,1,0
5013,ZONE 5 ,PARKER PAINT COMMUNITY,0,0
5014,ZONE 5 ,SOUL CLINIC COMMUNITY,1,1
5015,ZONE 5 ,VOKER MISSION COMMUNITY,0,0
6000,ZONE 6 ,VOA #1 COMMUNITY,1,0
6003,ZONE 6 ,BABY-MA JUNCTION,1,1
6004,ZONE 6 ,NUKA COMMUNITY-HOLD ROAD,0,0
6008,ZONE 6 ,FEEDING CENTER COMMUNITY,0,0
6011,ZONE 6 ,PERRY TOWN,0,1
7002,ZONE 7 ,CALDWELL NEW GEORGIA WATER SIDE,1,1
7003,ZONE 7 ,NEW GEORGIA NORTH ROAD COMMUNITY,1,1
7004,ZONE 7 ,LAJOY COMMUNITY,0,1
7005,ZONE 7 ,OLD FAITH ISLAND COMMUNITY,0,1
7006,ZONE 7 ,FAITH ATALANTA COMMUNITY,0,0
7007,ZONE 7 ,THUMB'S UP COMMUNITY,1,0
7011,ZONE 7 ,CALDWELL PEACE COMMUNITY,0,0
8004,ZONE 8 ,V.O.A COMMUNITY,1,1
8005,ZONE 8 ,ELWA OLD FIELD COMMUNITY,0,0
8006,ZONE 8 ,REHAB COMMUNITY,1,0
8007,ZONE 8 ,PALM BUSH COMMUNITY,1,0
8008,ZONE 8 ,CARVER MISSION,0,0
8010,ZONE 8 ,KANEMA COMMUNITY,0,1
8013,ZONE 8 ,THINKER VILLAGE COMMUNITY,1,1
8015,ZONE 8 ,BAPTIST SEMINARY COMMUNITY,0,1
8017,ZONE 8 ,R-2 COMMUNITY,0,0
9002,ZONE 9 ,N.V.T.C. COMMUNITY,0,0
9003,ZONE 9 ,NEW HOPE COMMUNITY,0,1
9006,ZONE 9 ,CHICKEN FARM COMMUNITY,0,1
9007,ZONE 9 ,ZOTA COMMUNITY,0,0
9010,ZONE 9 ,OLD FIELD COMMUNITY,0,0
9012,ZONE 9 ,72ND COMMUNITY,0,0
9018,ZONE 9 ,NEEZOE COMMUNITY,1,1
9020,ZONE 9 ,COCAO-COLA COMMUNITY,0,0
9021,ZONE 9 ,MORRIS FARM,0,0
9027,ZONE 9 ,BALLAH CREEK COMMUNITY,0,1
9028,ZONE 9 ,NECKLY TOWN ,1,1
9029,ZONE 9 ,PEACE CITY COMMUNITY,1,1
10002,ZONE 10 ,CLARA TOWN,1,0
10004,ZONE 10 ,DOE COMMUNITY,1,0
10012,ZONE 10 ,ABUJA COMMUNITY,1,1
10014,ZONE 10 ,SUCCESS COMMUNITY,0,0
10016,ZONE 10 ,COW FACTORY COMMUNITY,1,1
10020,ZONE 10 ,BASSA TOWN COMMUNITY,0,0
10026,ZONE 10 ,JAMAICA ROAD COMMUNITY,1,1
10034,ZONE 10 ,LITTLE WHITE CHAPEL COMMUNITY,0,0
10036,ZONE 10 ,ZONBO TOWN COMMUNITY,0,1